P,L,EI,delta
1.358883719842646997e+03,4.442874230113602607e+00,2.025004347474796465e+06,3.051088238902853640e-03
6.007778558888097905e+03,7.406298238608322926e+00,5.535673328440504847e+05,9.192174084970317072e-02
2.337518805981935202e+03,7.340815386932169062e+00,8.309469474112893455e+06,5.277262855263412621e-03
1.158762274668831424e+03,7.036367266652472807e+00,1.299768648432506481e+06,0.000000000000000000e+00
2.281031449998541120e+03,2.308082163768075290e+00,3.610687789148463402e+06,9.783562935706582517e-03
3.563280221532662836e+03,9.955097688307187553e+00,4.016375955987013294e+05,1.800113057421474649e-01
4.731096097364772504e+03,3.668144099320372664e+00,4.958317348332439549e+06,1.220529886262210900e-02
2.097257940023156607e+03,4.708889766783478592e+00,4.740410481829096563e+06,6.601230798346686100e-03
6.440026579627656247e+03,5.063982178249981203e+00,3.458907257066075690e+06,0.000000000000000000e+00
4.882391371962341509e+03,3.225980576513858278e+00,3.539468747144117020e+06,1.696682055931564206e-04
5.101843528183636408e+03,5.012999106264510729e+00,9.754689820034554228e+06,0.000000000000000000e+00
3.930237246073736969e+03,6.355392609115632752e+00,9.566219749137215316e+06,0.000000000000000000e+00
7.957010798971613440e+03,2.860098989918937740e+00,4.770854242577889818e+05,8.755197453666348564e-03
5.842041370890286089e+03,2.300692092395165922e+00,9.036591848056193441e+06,0.000000000000000000e+00
1.706756125172907332e+03,8.029694442393466858e+00,4.830870770197951235e+06,1.713868379621150823e-02
7.037448231410846347e+03,7.700383228495269350e+00,4.407217772625377402e+06,6.151633732683535472e-03
9.649055692883626762e+03,2.556042043307376499e+00,6.234008500761366449e+06,0.000000000000000000e+00
5.050082775585146010e+03,7.555909893612384742e+00,7.272577702923775651e+06,1.106121684138765618e-02
8.906248633066834373e+03,8.310093603162520992e+00,7.587731809340471402e+06,2.255978993546180200e-02
3.481975161443985598e+03,1.114463124670688643e+00,3.544516308600439690e+06,2.691731683032534770e-03
5.714726863514321849e+03,5.763513960446853268e+00,8.351986477619523648e+05,3.248405975422327674e-02
4.332705036631489747e+03,3.242109358524301932e+00,8.389524127872552723e+06,0.000000000000000000e+00
4.423797903965310070e+03,9.165139405874551670e+00,7.436560700078560039e+06,0.000000000000000000e+00
7.787935931471292861e+03,5.022572207817872503e+00,9.694071462674178183e+06,0.000000000000000000e+00
5.402481317626797136e+03,6.056273088135636584e+00,7.620141247085495852e+06,3.155817312445216832e-03
9.542048046754180177e+03,7.574931355758804052e+00,2.939923955542269163e+06,4.548791277243872944e-02
5.487660785466211564e+03,9.611699487807536357e+00,8.623721780828896910e+06,6.798124926211409659e-03
9.127397305227455035e+02,4.530243049280267442e+00,6.938321443323028274e+06,2.597449099673788692e-03
3.726789776582701961e+03,5.119552697655285201e+00,1.147690785262335325e+06,2.414566531217831463e-02
8.523419989644566158e+03,6.577698045481167100e+00,5.700380728402601555e+06,3.915613446940170717e-03
4.122122926174713029e+03,8.201919579975633923e+00,6.702726106410330394e+05,6.694041718141435782e-02
3.693034223590109377e+02,7.354279153710194805e+00,6.991202482614347711e+06,4.818497160669835654e-03
2.547054666073798217e+03,8.419476626338697756e+00,7.601062577190300217e+05,4.436910377150853069e-02
7.647292702958512791e+02,7.597354001171449767e+00,8.892422680011449382e+06,0.000000000000000000e+00
9.939134913070602124e+03,7.807279030290047217e+00,7.247432819438390434e+06,0.000000000000000000e+00
9.708745102434018918e+03,4.279336076781810050e+00,2.722324790957595687e+06,0.000000000000000000e+00
8.022557676212609294e+03,8.033772627438015235e+00,9.591807933763610199e+06,2.071840710142809280e-02
6.057989501914126777e+03,3.420756442634411698e+00,1.949953699972204166e+06,0.000000000000000000e+00
7.673102618471646565e+03,1.284391293047819405e+00,8.470921582809321582e+06,5.844609849078617053e-03
1.775331921183361601e+03,6.098631430035181822e+00,5.382653751286501996e+06,0.000000000000000000e+00
3.000929995012454128e+03,6.063798004075483306e+00,2.075664349742743652e+06,1.986966235745053766e-02
5.288262065473605617e+03,7.738625823098866263e+00,2.556061743079653010e+06,1.963373502808444387e-02
3.630580383115312998e+03,6.539334885665144093e+00,7.141267418916163035e+06,0.000000000000000000e+00
5.522217559294604143e+02,6.499495210631206277e+00,2.380446651178853586e+06,0.000000000000000000e+00
9.833219109036406735e+03,9.279953627016354289e+00,1.641375840261565754e+06,9.442450794391547830e-02
4.469413701612982550e+03,4.749538842898818558e+00,1.835352738254978787e+06,0.000000000000000000e+00
5.089604349853610984e+03,7.814458190484068645e+00,8.279047394775838591e+06,2.762831338563377735e-03
3.303059043593518254e+03,2.858700913182791847e+00,9.408354278575774282e+06,1.514492856022584509e-03
2.671473052196656681e+03,7.269979994098367371e+00,8.133751367361768149e+06,6.936300370200584875e-03
3.930209864675548033e+03,5.730847568650624169e+00,1.485540199226674158e+06,0.000000000000000000e+00
8.336967306381558956e+03,6.242521639169319236e+00,7.336842065251652151e+06,1.295360877045370791e-02
7.393795857242417696e+03,9.234675828405695341e+00,1.297788556138765998e+06,9.681892241866998927e-02
3.854184612722210659e+03,1.233678788675337534e+00,2.959293526207133546e+05,0.000000000000000000e+00
2.288716332760512273e+02,2.534432681788030273e+00,3.218482508015071508e+06,9.976534125149455479e-03
7.994308896422676298e+03,2.112929986399858961e+00,1.396385345330722397e+06,6.978296829298919618e-03
2.766949096203381941e+03,2.284304767128723324e+00,9.929801719826266170e+06,5.399656027330171186e-03
5.868580396437441777e+03,9.262168333407476695e+00,6.315517669188791886e+06,2.368888986482062947e-02
3.529543243119582598e+02,7.630943955124512179e+00,8.427299062694959342e+06,4.076091512775022099e-04
6.655799990756425359e+03,2.261004616506757436e+00,4.176387777294917963e+06,2.522350519005392942e-03
3.936481916145486593e+03,7.725165172454549811e+00,7.880744012136858888e+06,0.000000000000000000e+00
5.021030607471675467e+03,7.440692078772526585e+00,4.496466827317184769e+06,1.878855716867408598e-02
4.207567790009403325e+03,9.175094049592162904e+00,5.291208561104575172e+06,2.045436672183776824e-02
3.573631822886240570e+03,3.062315904618988061e+00,6.336315196656470187e+06,1.505810541122047305e-02
5.554681262711750605e+03,1.074090980855950228e+00,6.325224189729378559e+06,0.000000000000000000e+00
9.731815829760766064e+03,7.004191852665468510e+00,7.027586973675508983e+06,1.312014409545526894e-02
1.216484530856907440e+03,2.675967735727784458e+00,5.260244845046406612e+06,1.287703741269464325e-02
3.201259431454164314e+03,9.937392309510755695e+00,7.211817769895021804e+06,1.029998834284744785e-02
5.137973271715695773e+02,3.911003732708288272e+00,1.653270870979382889e+06,0.000000000000000000e+00
7.410157610346913316e+03,3.023954722549903273e+00,6.366930506912594661e+06,6.784086800449853037e-03
6.609372637824535559e+03,1.203432308484021718e+00,1.977889751724649686e+06,0.000000000000000000e+00
2.224893889359540935e+03,8.241168899254645908e+00,3.545164373696101364e+06,1.760035284370224662e-02
4.225859057933836993e+03,5.991572710844885741e+00,8.564580185441791546e+05,4.584167714738655863e-02
6.474035148067130649e+03,2.336371377901552471e+00,8.893890547109559178e+06,1.018578246151407782e-02
6.648665134482869689e+03,3.134033002991181149e+00,6.741547069044356467e+05,9.406369950288378731e-03
1.787723621489329844e+03,9.934495989264936711e+00,3.457429329706901917e+05,1.110586222742021428e-01
8.828357133910631092e+03,8.296991453399009231e+00,9.183250242717083544e+06,2.174223471395720156e-02
7.802280782103835918e+03,2.749308282968268458e+00,2.414919442977125756e+06,0.000000000000000000e+00
1.426146660899740937e+03,8.512527609213266899e+00,4.570677700089646503e+06,4.613779549748914938e-04
8.702274601677579994e+03,2.360276194929443072e+00,3.586088632642472629e+06,5.582762663099935865e-03
7.512900994940859164e+03,8.361627754750294628e+00,7.492150379017780535e+06,1.975127080608229599e-02
8.005997975580900857e+03,1.649146446907411967e+00,8.107266277195219882e+06,1.269767246749348155e-03
5.479117782780636844e+03,4.866493738778962630e+00,8.741173305336086079e+06,0.000000000000000000e+00
2.286295359108472894e+03,8.758983942596003658e+00,2.802470273985750508e+06,1.040885946754148590e-02
9.192740601237044757e+03,6.145295005086985896e+00,8.830156422516234219e+06,1.072106197313026435e-02
5.961637318897125624e+03,2.646355207960996658e+00,2.250382941530814278e+05,7.474896183952504242e-03
3.527755303605949848e+03,4.430887942235396615e+00,9.110391087502572685e+06,1.850427923447604817e-03
2.711407439872195937e+03,3.791457466886975602e+00,3.215476727099447045e+06,1.020335745675797316e-02
9.147763223934805865e+03,9.021318004478654728e+00,6.763008482271966524e+06,3.002098535409789687e-02
4.255381066937525247e+03,6.640992010266272061e+00,6.536926432948531583e+06,7.361636892398299749e-03
5.447896005104595133e+03,1.962661083874755574e+00,7.091076201178637566e+05,5.762977363516699238e-03
6.123577362269991681e+03,5.273946401743497603e+00,6.198239478939436376e+06,1.059089839684056872e-02
8.279873301498162618e+03,3.343447994687765323e+00,3.520404860178922769e+06,1.097200484381042652e-02
6.273275527165094900e+03,2.680616096340412202e+00,4.300045375617021695e+06,0.000000000000000000e+00
1.849450399685817729e+03,6.779487557471472137e+00,1.023179580328585813e+06,1.287655069150521817e-02
5.953447791270104062e+03,5.162864512849781207e+00,3.600175009589384310e+06,0.000000000000000000e+00
4.943735053249105476e+03,9.284368397917626581e+00,1.141139677672463469e+06,7.571150702332270221e-02
5.524287022894728580e+03,8.145628618318419001e+00,6.981761725477450527e+06,2.070236177808826294e-03
7.025254135926426898e+03,9.154387337991103379e+00,4.644909210051675327e+06,2.386725096519790382e-02
2.533530522650894000e+03,8.532996134808893629e+00,2.213541432381433900e+06,0.000000000000000000e+00
1.947608741306153888e+03,6.453508857172941759e+00,4.373621926503890194e+06,0.000000000000000000e+00
1.194773163181994732e+03,3.288771442500623365e+00,4.064752045730530284e+06,2.660651605121512608e-02
2.813186600106931564e+03,9.248982567521247589e+00,7.991031934877856635e+06,1.431036752207838839e-02
2.014753900559499584e+02,1.777596287605591296e+00,5.509765258489897475e+06,0.000000000000000000e+00
6.330661256012863305e+03,1.155963047512296171e+00,9.680189268025504425e+05,0.000000000000000000e+00
3.022205821675450352e+03,4.861639628129246660e+00,9.925739563612267375e+05,1.945307451064513284e-03
1.954136792548787753e+03,9.094881250651656757e+00,2.533176127838861197e+06,1.261188648994645937e-02
1.043351717381956860e+03,3.384157974652580947e+00,5.720630712121532299e+06,9.471455137371548316e-03
2.909182493906021136e+03,6.176574089762991271e+00,3.840066700102909934e+06,0.000000000000000000e+00
2.227751402893883096e+03,6.743710272869157585e+00,4.224328593268333003e+06,0.000000000000000000e+00
2.927476965717933126e+03,1.846329584203872276e+00,8.475516849698347971e+06,0.000000000000000000e+00
4.766957588949821911e+03,2.938917022765963338e+00,4.478299714177430607e+06,0.000000000000000000e+00
5.540018528775239247e+03,8.019394006139556552e+00,9.643009648584771901e+06,4.905577334890689339e-03
8.466619844189544892e+03,1.991444836844643129e+00,7.239871113985629752e+06,0.000000000000000000e+00
9.886246037763226923e+03,1.627381065716016817e+00,6.264656903644341044e+06,1.159974550335803652e-03
5.837940536705783643e+02,3.640497448683605253e+00,4.213143602456734516e+06,2.922811910241827210e-03
2.397970689218022926e+03,3.037536827509208059e+00,6.433767732617593370e+06,2.647746271396204856e-03
6.468783129757528513e+03,3.446013043889713412e+00,1.954346807133802678e+06,2.462545001695412052e-03
1.698518972627599396e+03,7.703349676923558320e+00,2.043479267290963791e+06,1.117844844464973078e-02
8.714444344353114502e+03,1.171818879137768388e+00,6.841347445925199427e+06,0.000000000000000000e+00
2.252284020419756871e+03,3.561416805445329903e+00,6.131886420158614404e+06,3.444254989118129308e-03
7.443374884946144448e+03,3.360597281227816868e+00,6.418818541467500851e+06,0.000000000000000000e+00
6.564903080987901376e+03,7.587124657355119872e+00,7.494566550193387084e+05,8.738280075475088338e-02
8.008966563895833133e+03,7.592949974591407525e+00,1.547507041020479752e+06,4.343628609819911307e-02
4.093508664260897945e+02,8.179354888461272566e+00,9.615214429998893756e+05,2.079778517543609540e-03
2.372782884569017369e+03,7.065760536473580267e+00,4.750579985907135531e+06,0.000000000000000000e+00
7.075812241292545878e+03,6.314651669111636778e+00,9.375655582953343168e+06,0.000000000000000000e+00
9.668688391111160172e+02,8.747445224640156169e+00,1.569222503433837788e+06,8.266238593721792621e-03
4.028358836237611627e+02,6.541939723123939565e+00,7.130250135022871196e+06,6.295230552705544276e-03
3.635635843625651432e+03,2.659077563047025361e+00,5.963199977662770078e+06,1.549426415061828455e-03
5.938841715570461929e+03,4.816782736041204771e+00,8.414948588189924136e+06,0.000000000000000000e+00
6.170050011031862596e+02,4.728769852008516850e+00,7.972864706018550321e+06,0.000000000000000000e+00
7.500702954431376384e+02,1.847303903691863036e+00,6.222219145599038340e+06,5.045961301905861271e-03
5.306617419911849538e+02,4.205358711703194530e+00,3.217394161561119836e+06,0.000000000000000000e+00
4.011992508828287555e+03,7.724067209702864645e+00,7.694170679115689127e+05,4.381098069917384319e-02
6.717427755558971512e+03,9.499502375567642432e+00,6.777636972924048081e+06,2.747950184217182873e-02
2.060468406980079180e+03,8.798127599367258966e+00,9.713947385421097279e+06,1.147886909117804867e-02
8.775037871871174502e+03,3.013291073792909724e+00,6.625858877850563265e+06,0.000000000000000000e+00
4.380652044903989008e+03,8.845564736959996566e+00,6.415123499324775301e+06,1.077083563758329463e-03
6.234450490728650038e+03,5.039777013635860392e+00,1.228278301479042275e+06,1.708811544012467376e-02
2.975224755056384765e+03,2.113577941148159223e+00,6.351694184278709814e+06,1.158711551594100372e-02
6.191020277296334825e+03,2.144174623398772628e+00,3.010520432392444927e+06,0.000000000000000000e+00
9.541233627584993883e+03,4.964010768460999756e+00,6.432636301934433170e+06,1.737875633080711996e-02
4.535345693588487848e+03,8.562834782890714536e+00,1.290757268936393317e+06,5.004457617464558999e-02
2.149793398707810866e+03,8.556895260115618740e+00,7.347925359027008526e+05,3.031069430333756948e-02
4.311136189863325853e+03,8.277221194450362418e+00,5.774820225321673788e+05,8.845886300240363154e-02
4.501285221161201662e+03,5.288071885375901893e+00,5.434946849042304792e+06,1.236097032659515607e-02
5.125413118052417303e+03,4.368940113021990257e+00,7.972085893364371732e+06,5.749386887519199185e-03
5.304759173128483781e+03,7.738989207997778230e+00,1.056584993622514652e+06,4.750481509637908412e-02
5.200489996372066344e+02,5.548646780604689965e+00,7.142681158537779003e+06,0.000000000000000000e+00
1.727748953084188315e+03,1.924147474664490431e+00,4.217163010319055757e+05,2.783860480892801255e-03
4.557249078211994856e+03,1.602925096752740863e+00,6.122046974945407361e+06,0.000000000000000000e+00
7.108914589127315594e+03,7.233177127136095841e+00,2.823076385023221839e+06,3.042401542243886731e-02
7.798120292224782133e+03,9.643823192027429769e+00,6.851039858539245091e+06,2.219694008841395852e-02
7.793319694749482551e+03,9.481501649733163006e+00,5.536931318332534283e+06,3.738548120508780603e-02
5.077509649841292230e+03,3.113538055435060237e+00,8.255621468923408538e+06,0.000000000000000000e+00
9.571801173741750972e+03,9.596463937188046245e+00,7.274674287888344377e+06,2.533467516412585621e-02
3.385549754144770759e+03,9.993268940448594151e+00,8.410978024519417435e+06,0.000000000000000000e+00
4.866435807225729150e+03,5.919523985455133364e+00,7.392849415825624950e+06,7.366790265332199585e-03
7.508902593476259426e+03,9.076400984535059280e+00,7.610920252836591564e+06,1.753238816992012949e-02
8.592611232551187641e+03,4.632768981364245420e+00,1.935473892808691016e+05,9.789532612202682393e-02
4.203154545815824349e+03,1.182341017896232804e+00,4.222565403655846603e+06,9.269998531020949215e-03
8.501976691246502014e+03,2.309423867619934345e+00,7.889938713361162692e+06,0.000000000000000000e+00
4.501252323332021660e+03,4.905056173954289278e+00,4.817555657262072898e+06,2.865231693780123830e-03
7.185896134434907253e+03,6.707847748082416572e+00,9.673657996397463605e+06,8.814649487813523004e-03
1.836387994303153164e+02,5.883594036649590464e+00,9.129824866746490821e+06,5.793635879801028142e-03
3.494940943404146765e+02,2.354000999384011195e+00,7.268035787253539311e+05,3.837590900856073864e-03
9.410459886066677427e+03,1.030205290491418069e+00,2.470389365452277474e+06,4.663862975109327874e-03
1.111165687488815365e+03,7.726706005064100324e+00,9.305643248385880142e+06,0.000000000000000000e+00
6.653481125353106108e+03,3.506083437851726270e+00,1.130236151376496768e+06,0.000000000000000000e+00
2.904261563829096303e+03,1.513500633612437252e+00,3.975052539946571924e+05,0.000000000000000000e+00
2.088339203376909609e+03,9.620815934641431255e+00,5.954051599699619226e+06,0.000000000000000000e+00
3.944508402936115090e+03,5.015626661569283051e+00,1.359076089682939928e+06,0.000000000000000000e+00
9.266425805434142603e+03,3.370194744213947935e+00,7.455525048660185188e+06,0.000000000000000000e+00
5.745714676532118574e+03,9.878859044993529182e+00,1.452413603448515059e+06,7.598980085498599490e-02
9.175474658383036513e+03,3.468062975581662766e+00,1.279417662877520546e+06,6.374267520576444232e-03
7.052415984115276842e+03,4.343260029215662676e+00,9.829509068964619190e+06,0.000000000000000000e+00
5.062042871702160483e+03,3.972777228496950919e+00,4.821755035340365954e+06,0.000000000000000000e+00
5.110259651775124439e+03,4.252822945029945068e+00,5.542388898914868012e+06,1.304913779298914889e-02
2.266325784660790305e+03,2.002061161298975822e+00,5.080239378740378655e+06,0.000000000000000000e+00
1.461688750769938565e+02,7.199471197628882990e+00,4.233504635158157907e+05,0.000000000000000000e+00
4.236578815626886353e+03,5.004427203340557462e+00,9.182378986150875688e+06,1.310654540386280674e-02
5.677423492356447241e+03,3.740272507163986848e+00,1.180147713167687878e+06,1.106066296231145857e-02
8.777962497390937642e+03,1.910776696778376138e+00,7.747669602939745411e+06,0.000000000000000000e+00
6.808089918256303463e+03,4.345354592038550123e+00,6.051160104043035768e+06,6.973710822192604949e-03
8.439097156424364584e+03,6.687371641285661639e+00,1.563679919101329753e+06,3.042913783318596660e-02
9.268996740556707664e+03,9.433051669905701431e+00,7.712483007387412945e+05,2.160738068190025674e-01
9.417047148972860668e+03,9.258273441186764430e+00,5.957488975320756435e+06,1.209555679975971194e-02
8.178589604051500828e+03,7.850377661566658283e+00,3.660819048884135205e+06,1.223196680080508407e-02
1.400806594246493887e+03,2.059974648625214400e+00,5.979385811650026590e+06,0.000000000000000000e+00
3.531637148403613992e+03,9.486239124738515827e+00,8.629887067786749452e+06,1.610634106245343797e-02
2.164174695802672886e+03,2.995742858478390946e+00,9.977587457520186901e+06,2.357297591654699404e-02
8.687077217849582667e+03,2.102257618312124876e+00,7.284644834125571884e+06,2.762897232293819866e-03
7.944069171131953226e+03,3.123868933647795387e+00,1.713105314798673382e+06,5.566400353790371125e-04
3.555116242770208373e+03,7.824515448204622636e+00,2.125661508294039959e+04,1.683482128376786013e+00
5.734491267350790622e+03,4.319572562848035702e+00,6.217463153749062680e+06,0.000000000000000000e+00
8.070802248531445002e+03,4.391952828110365914e+00,1.526927791505186819e+06,5.826136784954614317e-03
8.348296322866364790e+03,6.389828786072999200e+00,5.974050513350062072e+06,1.593284045170523938e-02
2.137357401805712925e+03,8.658869854865571369e+00,7.998406609812907875e+06,0.000000000000000000e+00
7.333733985208544254e+03,7.666753421855939443e+00,8.828154725298826816e+05,7.843182746586875587e-02
8.053800225178544679e+03,8.705939443453825533e+00,9.628988989440130070e+06,1.649717148062625205e-02
5.269774598982910447e+02,5.464947930751518967e+00,6.492247184213120490e+06,0.000000000000000000e+00
1.161155301892641091e+03,4.809239260665249205e+00,5.732360728869725019e+06,5.459905409728509941e-03
4.407328133602393791e+03,6.545948382194882065e+00,9.760213494276033714e+06,5.276466608658825219e-03
2.286724096421366539e+03,3.345483137107650773e+00,3.100410387555532157e+06,1.370713886553739241e-03
8.818158455040238550e+03,3.443050518712609698e+00,4.906998382834547374e+04,1.598242761426627023e-01
7.224906623471671992e+03,2.468909753557879228e+00,3.849007087488924153e+06,0.000000000000000000e+00
7.158772206115111658e+03,4.356971939148903239e+00,7.059531732301758602e+06,2.096969266294301804e-02
7.721610604227749718e+03,8.423901607849568762e+00,1.154059515585373621e+06,8.889527867917375314e-02
3.374395559077107009e+03,2.626319439885602236e+00,3.177259358256160282e+06,0.000000000000000000e+00
2.363241493147679193e+03,7.905721450153152752e+00,6.993941501864764839e+06,0.000000000000000000e+00
6.300805196090161189e+03,6.127944388517543750e+00,5.769154679784793407e+06,1.660996007471256600e-02
4.203344570301353087e+03,4.247749934126467508e+00,2.239712379560085945e+06,0.000000000000000000e+00
9.374132615118440299e+03,3.420167166708545370e+00,8.663702782330116257e+06,0.000000000000000000e+00
6.460278947137643627e+03,8.249737538625527833e+00,5.793846812793247402e+06,3.457198328871054216e-02
3.930313395822445273e+03,9.848198165179320895e+00,5.599595333560433239e+06,1.569970140041473949e-02
8.565684641961486705e+03,7.541157443348885714e+00,4.025019164667837787e+06,1.883813292663129302e-02
3.869846578790459716e+03,5.540809103720928164e+00,5.973064865985052660e+06,1.142475379283822839e-02
1.865267294999429851e+03,1.870267890994713467e+00,6.587816301946210675e+06,0.000000000000000000e+00
7.838428314094205234e+03,8.881952311225305152e+00,4.724837993616234511e+06,1.825930869065097925e-02
4.774865015416434289e+03,7.951737169404911043e+00,2.914715509208327159e+06,6.098873345163111082e-03
2.668856003602343208e+03,2.616484574861441814e+00,4.023391319143805653e+06,0.000000000000000000e+00
6.954752534224187002e+03,3.863855862033791055e+00,5.425923543674742803e+06,6.053680995787567506e-03
9.806802282087906860e+03,8.295640938110668827e+00,9.757048514618445188e+06,1.218422601499232968e-02
2.537910530781119178e+03,8.420625022794093084e+00,8.145033137430677190e+06,1.486490533213299936e-03
7.923413645681048365e+03,8.904624399800136203e+00,4.313735603038357571e+06,1.572347337809300999e-02
7.647118917818183036e+03,1.767777630973679681e+00,2.046147861628159182e+06,2.995930333514144634e-03
1.288393942556398770e+03,4.685676277541309886e+00,8.594380485193952918e+06,0.000000000000000000e+00
8.405135686134106436e+03,5.540158445713316837e+00,6.753049878700630739e+06,0.000000000000000000e+00
4.671215157089663990e+03,1.905843966672673417e+00,7.306634185426319949e+06,0.000000000000000000e+00
1.345235687275566988e+03,7.015661280826428481e+00,8.571245242279557511e+06,6.648250641173695380e-03
5.409800383651078846e+03,6.799655039089105735e+00,3.214699254737455398e+06,9.357308512065351871e-03
3.035476232866827104e+03,7.167862758058440420e+00,9.120284794279731810e+06,8.961616584109396641e-03
1.839669513241633013e+03,8.219480536588189779e+00,2.100293584706592374e+06,1.522174026947497108e-02
8.844578899379164341e+02,4.679385040607175306e+00,2.533911082819439471e+06,1.422515854383645667e-02
2.069101009112041538e+03,9.050653158335151716e+00,2.633590749905465636e+06,2.189194191273889298e-02
4.352927328658496663e+03,3.380628525746086410e+00,8.265751089670694433e+06,0.000000000000000000e+00
6.453936459925433155e+03,2.927976786804778797e+00,1.678532317643973744e+06,1.057546135783190774e-02
9.650538700189842984e+02,5.964771951964439545e+00,1.330073536789330654e+06,2.128825798824771076e-03
7.185732818932555347e+03,8.889539664313732104e+00,7.589631574269097298e+06,1.320676600755706781e-02
1.107273628537482409e+03,2.360508346665826540e+00,5.599998287782771513e+06,0.000000000000000000e+00
1.838430801997336630e+03,8.429355327479411741e+00,1.897867851958384505e+06,1.363308638415626668e-02
7.161883465358365356e+03,3.617632710338372970e+00,7.527569411914356984e+06,4.978242137218190713e-03
8.864110376663842544e+03,1.036517470202967584e+00,8.538291492645183462e+04,1.538437735475677547e-02
9.833069774326415427e+03,6.297217448177791610e+00,3.126652138242916670e+06,1.386800642429487224e-02
6.563778811942023822e+03,1.809310761614207896e+00,5.844261627547000535e+06,5.928002443807000189e-04
4.829589894763116718e+03,3.119039456803084143e+00,5.386883726610538550e+06,0.000000000000000000e+00
9.690967933614450658e+02,3.965524384028743299e+00,9.191395176695484668e+06,0.000000000000000000e+00
5.633612867503039524e+03,3.498602401926971250e+00,3.232317499758306891e+06,1.596793720147596718e-03
1.893387271145599925e+03,7.060299103123410802e+00,9.414916375179154798e+06,7.670421706872231071e-03
5.192580398665084431e+03,3.498739317469725663e+00,6.691468627214262262e+06,2.732776702263342225e-03
6.128408474450476206e+03,8.397646489054993779e+00,5.225872971325143240e+06,1.828940845247196967e-02
8.348803652213782698e+03,3.439965972118335102e+00,9.125183755947856233e+06,1.677891347697328325e-03
3.305130764335850472e+03,8.618241300705790309e+00,7.045755296298590489e+06,2.675499422955457136e-03
9.889734723865094566e+03,9.600682300797629409e+00,6.238238436689818278e+06,3.349275231724987978e-02
9.950007573681152280e+03,9.717260789687879097e+00,7.158506358412057161e+06,1.798416236528697226e-02
8.278893112453988579e+03,6.287596418042046942e+00,6.535589958587304689e+06,1.382788284721689007e-02
6.972110199709314657e+03,8.448027782756806658e+00,8.959804031752010807e+06,1.586057821427585765e-02
7.363331001160068809e+03,7.135517507624526523e+00,6.864697770080923103e+06,1.701557650432371227e-02
8.765161217066159224e+03,9.845331611489994472e+00,2.395845377806317061e+06,6.723326314340770382e-02
9.519950468622750122e+03,8.775251566585478002e+00,2.550903019783218857e+06,4.423908231001305591e-02
8.537402973315756753e+03,6.758596887239958662e+00,9.902666875744784251e+06,1.069538883586857413e-03
6.445292533810756140e+03,1.089586819141042273e+00,5.624208560055792332e+06,1.659985699089979155e-03
8.276340086729222776e+02,6.809888977419763734e+00,6.317531709547635168e+06,4.758318145245628988e-03
6.271508671528802552e+03,4.464126837730074016e+00,7.805253521197845228e+06,0.000000000000000000e+00
3.596817528676633628e+03,1.715782308589060889e+00,8.371762947439061478e+06,1.115987254666891276e-02
1.731308369920534005e+03,3.506461615226265316e+00,6.807148342612549663e+06,1.429597003630303639e-03
8.942345247013729022e+03,9.960224208193277917e+00,7.733091147587755695e+06,2.964823625125832113e-02
